session_id,user_id,outfit_id,timestamp,view_type
902fc62f-aa81-4fef-be19-268241d14307,0,89180,23-07-18 11:36:10,journey
902fc62f-aa81-4fef-be19-268241d14307,0,80796,23-07-18 11:36:10,journey
902fc62f-aa81-4fef-be19-268241d14307,0,89666,23-07-18 11:36:10,journey
902fc62f-aa81-4fef-be19-268241d14307,0,88662,23-07-18 11:36:10,journey
902fc62f-aa81-4fef-be19-268241d14307,0,90279,23-07-18 11:36:10,journey
902fc62f-aa81-4fef-be19-268241d14307,0,84247,23-07-18 11:36:10,journey
902fc62f-aa81-4fef-be19-268241d14307,0,91187,23-07-18 11:36:10,journey
902fc62f-aa81-4fef-be19-268241d14307,0,79900,23-07-18 11:36:10,journey
902fc62f-aa81-4fef-be19-268241d14307,0,91186,23-07-18 11:36:10,journey
902fc62f-aa81-4fef-be19-268241d14307,0,78997,23-07-18 11:36:10,journey
902fc62f-aa81-4fef-be19-268241d14307,0,91184,23-07-18 11:36:13,similar
902fc62f-aa81-4fef-be19-268241d14307,0,91206,23-07-18 11:36:13,similar
902fc62f-aa81-4fef-be19-268241d14307,0,91240,23-07-18 11:36:13,similar
902fc62f-aa81-4fef-be19-268241d14307,0,91153,23-07-18 11:36:13,similar
902fc62f-aa81-4fef-be19-268241d14307,0,91206,23-07-18 11:36:13,similar
902fc62f-aa81-4fef-be19-268241d14307,0,91247,23-07-18 11:36:13,similar
902fc62f-aa81-4fef-be19-268241d14307,0,91744,23-07-18 11:36:13,similar
902fc62f-aa81-4fef-be19-268241d14307,0,91153,23-07-18 11:36:13,similar
902fc62f-aa81-4fef-be19-268241d14307,0,91206,23-07-18 11:36:13,similar
902fc62f-aa81-4fef-be19-268241d14307,0,91249,23-07-18 11:36:13,similar
902fc62f-aa81-4fef-be19-268241d14307,0,91247,23-07-18 11:36:13,similar
902fc62f-aa81-4fef-be19-268241d14307,0,91240,23-07-18 11:36:13,similar
902fc62f-aa81-4fef-be19-268241d14307,0,79601,23-07-18 11:36:15,journey
902fc62f-aa81-4fef-be19-268241d14307,0,83057,23-07-18 11:36:15,journey
902fc62f-aa81-4fef-be19-268241d14307,0,86282,23-07-18 11:36:15,journey
902fc62f-aa81-4fef-be19-268241d14307,0,88540,23-07-18 11:36:15,journey
902fc62f-aa81-4fef-be19-268241d14307,0,91195,23-07-18 11:36:15,journey
902fc62f-aa81-4fef-be19-268241d14307,0,79691,23-07-18 11:36:15,journey
902fc62f-aa81-4fef-be19-268241d14307,0,90254,23-07-18 11:36:15,journey
902fc62f-aa81-4fef-be19-268241d14307,0,87944,23-07-18 11:36:15,journey
902fc62f-aa81-4fef-be19-268241d14307,0,83399,23-07-18 11:36:15,journey
902fc62f-aa81-4fef-be19-268241d14307,0,81801,23-07-18 11:36:15,journey
902fc62f-aa81-4fef-be19-268241d14307,0,80481,23-07-18 11:36:18,similar
902fc62f-aa81-4fef-be19-268241d14307,0,80478,23-07-18 11:36:18,similar
902fc62f-aa81-4fef-be19-268241d14307,0,81443,23-07-18 11:36:18,similar
902fc62f-aa81-4fef-be19-268241d14307,0,80478,23-07-18 11:36:18,similar
902fc62f-aa81-4fef-be19-268241d14307,0,80639,23-07-18 11:36:18,similar
902fc62f-aa81-4fef-be19-268241d14307,0,80481,23-07-18 11:36:18,similar
902fc62f-aa81-4fef-be19-268241d14307,0,80253,23-07-18 11:36:18,similar
902fc62f-aa81-4fef-be19-268241d14307,0,80481,23-07-18 11:36:18,similar
902fc62f-aa81-4fef-be19-268241d14307,0,80220,23-07-18 11:36:18,similar
902fc62f-aa81-4fef-be19-268241d14307,0,80478,23-07-18 11:36:18,similar
902fc62f-aa81-4fef-be19-268241d14307,0,81820,23-07-18 11:36:18,similar
902fc62f-aa81-4fef-be19-268241d14307,0,80580,23-07-18 11:36:18,similar
902fc62f-aa81-4fef-be19-268241d14307,0,84213,23-07-18 11:36:21,journey
902fc62f-aa81-4fef-be19-268241d14307,0,86702,23-07-18 11:36:21,journey
902fc62f-aa81-4fef-be19-268241d14307,0,87270,23-07-18 11:36:21,journey
