session_id,user_id,outfit_id,timestampe,viewtype
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87401,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,91503,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,84849,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,90861,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,90528,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,77790,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,82386,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,81649,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,84410,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,89043,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,86278,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,80182,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,79948,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,90733,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,90422,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,82201,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,84656,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,91332,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,86900,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,84355,23-07-18 10:02:40,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,91768,23-07-18 10:02:45,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,88503,23-07-18 10:02:45,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,85638,23-07-18 10:02:45,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,78328,23-07-18 10:02:45,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,89258,23-07-18 10:02:45,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,82967,23-07-18 10:02:45,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,83192,23-07-18 10:02:45,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,78668,23-07-18 10:02:45,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,88710,23-07-18 10:02:45,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,81781,23-07-18 10:02:45,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87414,23-07-18 10:02:58,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87408,23-07-18 10:02:58,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87418,23-07-18 10:02:58,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87405,23-07-18 10:02:58,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87417,23-07-18 10:02:58,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87404,23-07-18 10:02:58,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87408,23-07-18 10:02:58,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87418,23-07-18 10:02:58,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87413,23-07-18 10:02:58,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87406,23-07-18 10:02:58,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87405,23-07-18 10:02:58,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87413,23-07-18 10:02:58,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87406,23-07-18 10:03:00,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87418,23-07-18 10:03:00,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87412,23-07-18 10:03:00,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87403,23-07-18 10:03:00,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87418,23-07-18 10:03:00,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87414,23-07-18 10:03:00,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87404,23-07-18 10:03:01,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87408,23-07-18 10:03:01,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87413,23-07-18 10:03:01,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87413,23-07-18 10:03:01,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87405,23-07-18 10:03:01,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,87403,23-07-18 10:03:01,similar
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,81684,23-07-18 10:03:03,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,86766,23-07-18 10:03:03,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,81520,23-07-18 10:03:03,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,86033,23-07-18 10:03:03,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,85049,23-07-18 10:03:03,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,85655,23-07-18 10:03:03,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,80740,23-07-18 10:03:03,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,78458,23-07-18 10:03:03,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,86899,23-07-18 10:03:03,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,88337,23-07-18 10:03:03,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,79500,23-07-18 10:03:03,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,90802,23-07-18 10:03:03,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,80076,23-07-18 10:03:03,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,88598,23-07-18 10:03:03,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,78756,23-07-18 10:03:03,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,78177,23-07-18 10:03:03,journey
ddeef699-1e4b-41f6-b9df-ec82b3a38db8,0,80221,23-07-18 10:03:03,journey
